pk_dt_abertura,data,ano,mes,nu_mes
972,08/05/1992,1992,MAI,5
4511,16/11/2009,2009,NOV,11
4513,09/03/2009,2009,MAR,3
14892,12/01/1973,1973,JAN,1
14958,13/12/2002,2002,DEZ,12
13348,09/02/1979,1979,FEV,2
9188,12/02/2009,2009,FEV,2
4520,10/11/2010,2010,NOV,11
9499,15/04/1997,1997,ABR,4
12107,12/09/1990,1990,SET,9
13821,24/11/1986,1986,NOV,11
14457,27/07/2009,2009,JUL,7
14971,04/12/2010,2010,DEZ,12
4528,23/03/1984,1984,MAR,3
4530,20/08/2001,2001,AGO,8
4532,27/11/1991,1991,NOV,11
4534,06/02/2008,2008,FEV,2
14992,11/04/2008,2008,ABR,4
428,02/12/1986,1986,DEZ,12
533,22/05/1998,1998,MAI,5
14655,30/06/2008,2008,JUN,6
11724,17/03/1989,1989,MAR,3
14999,01/05/2012,2012,MAI,5
15001,07/12/1989,1989,DEZ,12
15003,02/03/1993,1993,MAR,3
15005,13/08/1976,1976,AGO,8
4550,25/08/2000,2000,AGO,8
4552,06/07/2000,2000,JUL,7
4554,17/03/2007,2007,MAR,3
4556,15/04/2002,2002,ABR,4
4558,29/01/2008,2008,JAN,1
15021,19/06/1987,1987,JUN,6
2409,22/06/2004,2004,JUN,6
15023,31/03/1975,1975,MAR,3
4565,15/05/2009,2009,MAI,5
13687,30/04/1992,1992,ABR,4
13022,14/07/1999,1999,JUL,7
2948,28/04/1999,1999,ABR,4
249,11/04/2011,2011,ABR,4
15079,27/04/1995,1995,ABR,4
4572,14/07/1988,1988,JUL,7
4574,24/06/2012,2012,JUN,6
2224,17/06/2010,2010,JUN,6
997,08/08/2003,2003,AGO,8
4578,07/07/1983,1983,JUL,7
11546,11/10/2002,2002,OUT,10
15042,13/07/1976,1976,JUL,7
317,15/08/2012,2012,AGO,8
3672,13/08/2010,2010,AGO,8
11118,22/01/2003,2003,JAN,1
15053,20/07/2010,2010,JUL,7
4588,17/12/1999,1999,DEZ,12
13214,17/03/1987,1987,MAR,3
14430,16/09/1987,1987,SET,9
4592,21/05/1993,1993,MAI,5
4594,06/04/1988,1988,ABR,4
15068,13/02/2008,2008,FEV,2
11040,06/09/1974,1974,SET,9
4599,24/11/1987,1987,NOV,11
4601,28/07/1987,1987,JUL,7
4603,11/07/1969,1969,JUL,7
4605,02/06/2004,2004,JUN,6
4607,23/12/1970,1970,DEZ,12
4609,06/07/1987,1987,JUL,7
4611,16/08/1982,1982,AGO,8
2799,03/08/1987,1987,AGO,8
4614,16/04/1984,1984,ABR,4
4616,05/09/2002,2002,SET,9
4036,04/05/1981,1981,MAI,5
15112,22/01/1990,1990,JAN,1
15115,14/10/1996,1996,OUT,10
4623,18/05/1983,1983,MAI,5
4625,24/08/1993,1993,AGO,8
1554,29/04/1992,1992,ABR,4
14035,05/10/2007,2007,OUT,10
15124,13/11/2009,2009,NOV,11
4631,02/06/1976,1976,JUN,6
15135,15/07/2005,2005,JUL,7
4635,26/01/1981,1981,JAN,1
4637,10/07/1991,1991,JUL,7
6736,03/02/1999,1999,FEV,2
4640,29/07/1975,1975,JUL,7
15150,07/01/2009,2009,JAN,1
15160,13/11/2011,2011,NOV,11
4646,10/12/1974,1974,DEZ,12
4648,04/11/1992,1992,NOV,11
4650,19/07/1978,1978,JUL,7
