pk_cnae,nu_ordem,cd_ramo_atividade,cnae_dig2,de_ramo_atividade,ramo_atividade,divisao
21634,0,7490104,74,"ATIVIDADES DE INTERMEDIACAO E AGENCIAMENTO DE SERVICOS E NEGOCIOS EM GERAL, EXCETO IMOBILIARIOS",SERVIÇOS DE EDUCAÇÃO,"OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS"
21635,0,3101200,31,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO,DIVERSOS,FABRICAÇÃO DE MÓVEIS
21635,1,3240099,32,FABRICACAO DE MOVEIS COM PREDOMINANCIA DE MADEIRA,DIVERSOS,FABRICAÇÃO DE PRODUTOS DIVERSOS
21635,2,4755502,47,FABRICACAO DE OUTROS BRINQUEDOS E JOGOS RECREATIVOS NAO ESPECIFICADOS ANTERIORMENTE,SERVIÇOS DE SANEAMENTO BÁSICO,COMÉRCIO VAREJISTA
21636,0,9430800,94,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,SERVIÇOS DIVERSOS,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
21636,1,9493600,94,ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS,SERVIÇOS DIVERSOS,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
21636,2,9499500,94,ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE,SERVIÇOS DIVERSOS,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
21637,0,9430800,94,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,SERVIÇOS DIVERSOS,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
21637,1,9493600,94,ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS,SERVIÇOS DIVERSOS,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
21637,2,9499500,94,ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE,SERVIÇOS DIVERSOS,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
21638,0,9430800,94,ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE,SERVIÇOS DIVERSOS,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
21638,1,9493600,94,ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS,SERVIÇOS DIVERSOS,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
