pk_endereco,nm_logradouro,nu_logradouro,nm_bairro,nm_municipio,cd_cep,sg_uf,vl_latitude,vl_longitude
1881,PASSEIO SAO SEBASTIAO,174,BATISTA CAMPOS,BELEM,66630505,PA,"-1,4557549","-48,4901799"
1883,AVENIDA COLOMBO,4384,VILA NOVA,MARINGA,87045000,PR,"-23,4149735","-51,9251394"
1885,RUA RUI PORTO,108,CHACARA SAO JOAO,SAO PAULO,05109180,SP,"-23,5020453","-46,7589698"
1886,RUA DUQUE DE CAXIAS,32,CENTRO,PESQUEIRA,55200000,PE,"-8,3574495","-36,6975639"
1887,AVENIDA FRANCISCO AMARAL,SN,CENTRO,TENENTE LAURENTINO CRUZ,59338000,RN,"-6,1478021","-36,7187311"
1889,AVENIDA INDAIA OESTE,-,CENTRO,CHAPADAO DO CEU,75828000,GO,"-18,394909","-52,6653684"
1890,RUA 177,71,CIDADE NOVA III,MANAUS,69098080,AM,"-3,0497066","-59,97462"
1892,RUA JOAO SORONGO,23,JARDIM AMERICA,FORTALEZA,60416000,CE,"-3,7538144","-38,5407158"
1894,RUA XAVIER DE MAGALHAES,64,JARDIM MARACA,SAO PAULO,04844120,SP,"-23,7469933","-46,6993241"
1896,ACESSO LINHA DIVISA,SN,INTERIOR,PRESIDENTE CASTELO BRANCO,89745000,SC,"-27,2252676","-51,8038452"
1897,RUA ITANHOMI,55,SANTA CRUZ,CARATINGA,35300162,MG,"-19,7804082","-42,1485545"
1899,RUA LAURO LINHARES,635,TRINDADE,FLORIANOPOLIS,88036001,SC,"-27,5849249","-48,5246232"
1901,RUA JOAO DE ABREU,141,PARQUE ITAMARATI,ITAPEVI,06653275,SP,"-23,544374","-46,933271"
1902,RUA PARINTINS,74,VILA IZABEL,CURITIBA,80320270,PR,"-25,45477","-49,2940991"
1904,AVENIDA PERIMETRAL NORTE,40,CENTRO,PLACAS,68138000,PA,"-3,869853","-54,2196714"
1906,RUA CUSTODIO CANDIDO CARNEIRO,1070,JARDIM MORADA DO SOL,INDAIATUBA,13348263,SP,"-23,1262766","-47,2422686"
1908,RAMAL ALCIDES GIANI,285,SAO CRISTOVAO,CAXIAS DO SUL,95058058,RS,"-29,1634031","-51,1796683"
1910,RUA LUIZ DE CAMOES,372,SANTO ANTONIO,PORTO ALEGRE,90620150,RS,"-30,05527","-51,202185"
1912,RUA BENVINDA DA CRUZ,203,ROSARIO,NOVA LIMA,34000339,MG,"-19,9824104","-43,8469238"
1913,RUA PEDRO II NORTE,18,CENTRO,VITORINO FREIRE,65320000,MA,"-4,2859547","-45,2552987"
1915,RUA MARIO MACHADO,982,CRISTO REI,VARZEA GRANDE,78117436,MT,"-15,6405201","-56,1016941"
1917,RUA VITORIA,52,SAO CAETANO,ITABUNA,45607045,BA,"-14,7982086","-39,2779722"
1919,TRAVESSA LEOPOLDINO CASTRO DE MATTOS,51,CENTRO,CANOAS,92010070,RS,"-29,9279777","-51,1781354"
1920,AVENIDA MANOEL DA COSTA C DE SOUZA,332,CENTRO,CATIGUA,15870000,SP,"-21,0500993","-49,0566864"
1922,RUA CLEMENTINO FERNANDES DE MOURA,64,NOVO,SANTA CRUZ DO CAPIBARIBE,55192400,PE,"-7,9484331","-36,2064182"
1923,RUA VESPERAS SICILIANAS,20B,JARDIM SAO BERNARDO,SAO PAULO,04844510,SP,"-23,7574507","-46,701402"
1924,RUA ANTONIO GOMIDE,184,PLANALTO PAULISTA,SAO PAULO,04071070,SP,"-23,6231432","-46,6504324"
1925,AVENIDA CORUMBIARA,729,DISTRITO DE ALTO GUARAJUS,CORUMBIARA,76995000,RO,"-12,9986114","-60,9460291"
1926,RUA SANTA MARIA,845,SAO JORGE,TORRES,95560000,RS,"-29,3391142","-49,7270317"
1928,RUA BENJAMIN CONSTANT,1059,CENTRO,SAO DOMINGOS,89835000,SC,"-26,5562864","-52,535883"
1930,RUA GUADALAJARA,430,BARRA,SALVADOR,40140461,BA,"-13,0055984","-38,5196929"
1932,RUA RENATO KATSUYA SATO,180,PARQUE CRUZEIRO DO SUL,SAO PAULO,08161360,SP,"-23,4961907","-46,4590221"
1933,RUA PAULO OLIVEIRA,58,BEL RECANTO,SANTANA DO ARAGUAIA,68560000,PA,"-9,8","-36,35"
1934,RUA DOS EXPEDICIONARIOS,31,CENTRO,ENTRE RIOS DE MINAS,35490000,MG,"-20,6728691","-44,065821"
1935,RUA SEBASTIAO DOS ANJOS,30,ALAMEDA,VARZEA GRANDE,78115210,MT,"-15,6205949","-56,1011552"
1937,RUA JOAO GOMES,157,SANTA EFIGENIA,BELO HORIZONTE,30270390,MG,"-19,9179279","-43,9059807"
1939,RUA DAS HORTENCIAS,330,JARDIM DO ESTADIO,SANTO ANDRE,09175500,SP,"-23,6795285","-46,5163936"
1941,AVENIDA ANTONIO DE ALMEIDA,989,RETIRO,VOLTA REDONDA,27275040,RJ,"-22,5003541","-44,1211957"
1943,RUA CORONEL LUCENA,SN,LUIZ G DE CARVALHO,OURO BRANCO,57525000,AL,"-9,1649115","-37,3576728"
1945,RUA JUSCELINO KUBITSCHEK DE OLIVEIRA,SN,CIDADE NOVA DA SERRA,SERRA,29180264,ES,"-20,0402294","-40,3922954"
1947,RUA HEITOR DE MORAIS,355,PACAEMBU,SAO PAULO,01237000,SP,"-23,5445007","-46,667586"
1949,RUA MAZEL,117,PARQUE SAO GEORGE,COTIA,06708235,SP,"-23,5984865","-46,8462617"
1951,RUA SOTER DE ARAUJO,89,SENADOR CAMARA,RIO DE JANEIRO,21832010,RJ,"-22,8847665","-43,487157"
1952,RUA NILO PECANHA,77,CENTRO,ROLANDIA,86600000,PR,"-23,317237","-51,3736857"
1953,AVENIDA SAO JORGE,402,NOVA MIRIM,PRAIA GRANDE,11717270,SP,"-24,0216995","-46,4931242"
1955,RUA FRANCO DA ROCHA,2378,VILA VIRGINIA,RIBEIRAO PRETO,14030470,SP,"-21,1990513","-47,8365052"
1957,AVENIDA FERNANDES LIMA,2019,FAROL,MACEIO,57055000,AL,"-9,6177717","-35,7392171"
1959,RUA BARAO DO RIO BRANCO,612,CENTRO,MIRANDA,79380000,MS,"-20,2386783","-56,3812976"
1961,AVENIDA BRIGADEIRO FARIA LIMA,2081,JARDIM PAULISTANO,SAO PAULO,01452001,SP,"-23,5751735","-46,6877227"
1963,AVENIDA JOAQUIM NABUCO,161,DIVINOPOLIS,CARUARU,55010420,PE,"-8,2804711","-35,9759813"
1965,RUA 222,49,MEIA PRAIA,ITAPEMA,88220000,SC,"-27,1230074","-48,6060407"
1967,ESTRADA BASILIO SILOTTO SITIO SAO BENTO,SN,RAMALHADA,SERRA NEGRA,13930000,SP,"-22,6144285","-46,7037152"
1968,AVENIDA DAS HORTENCIAS,1311,JARDIM ATLANTICO,TRAMANDAI,95590000,RS,"-30,0576225","-50,1696962"
1969,AVENIDA MORANGUEIRA,1300,JARDIM ALVORADA,MARINGA,87033070,PR,"-23,4020353","-51,9279883"
1971,AVENIDA NOVE DE JULHO,527B,PARQUE PARAISO,ITAPECERICA DA SERRA,06852150,SP,"-23,70171","-46,8568935"
1973,RUA MARANHAO,39,CENTRO,POCOS DE CALDAS,37701025,MG,"-21,7798193","-46,5677264"
1975,RUA SOLIMOES,1351,MERCES,CURITIBA,80810070,PR,"-25,4174183","-49,2901383"
1976,RUA JOSE PARAIBANO,128,JARDIM OURO BRANCO,BARREIRAS,47802210,BA,"-12,1457048","-44,9882308"
1978,RUA DOUTOR NORMAN ABBUD,150,JARDIM ACAPULCO,SAO CARLOS,13563703,SP,"-21,9970916","-47,9125645"
1980,RUA DOUTOR GETULIO VARGAS,36,VILA SANTA LUZIA,TABOAO DA SERRA,06754030,SP,"-23,6071551","-46,7524128"
1982,TRECHO VAI PARA O CEU,SN,NOVA CANAA,NOVA IPIXUNA,68585000,PA,"-4,9166754","-49,0811416"
1984,SITIO GATO,SN,ZONA RURAL,MATA GRANDE,57540000,AL,"-9,118768","-37,7425524"
1986,AVENIDA TREZE DE MAIO,SN,CENTRO,FATIMA,77555000,TO,"-10,7606788","-48,9080175"
1987,RUA COSMO SANTOS,549,PLANALTO,ITAPIUNA,62740000,CE,"-4,5629728","-38,9210924"
1989,AVENIDA MARTIN LUTHER KING,4236,VILA OPERARIA,PARANAVAI,87708130,PR,"-23,1033178","-52,4479296"
1991,RUA BORGES DE MEDEIROS,288,RIO BRANCO,NOVO HAMBURGO,93310280,RS,"-29,6829447","-51,136859"
1993,RUA CHUBEI TAKAGASHI,323,COLONIA ZONA LESTE,SAO PAULO,08260100,SP,"-23,5681354","-46,4254462"
1995,RUA SA E SOUZA,286,BOA VIAGEM,RECIFE,51020060,PE,"-8,1345842","-34,9063965"
1997,RUA PEDRO CESARIO,SN,CENTRO,GUZOLANDIA,15355000,SP,"-20,6407519","-50,6597012"
1998,RUA NEWTON DA ROCHA,1457,SETOR CENTRAL,GURUPI,77402020,TO,"-11,728809","-49,0775482"
2000,AVENIDA ANA COSTA,476,GONZAGA,SANTOS,11060002,SP,"-23,9650094","-46,3329293"
2002,RUA PADRE ADOLFO,1077,CENTRO,JI PARANA,76900000,RO,"-10,8745134","-61,949572"
2004,RUA SILVEIRA MARTINS,95,CABULA,SALVADOR,41150000,BA,"-12,9647687","-38,4726914"
2006,AVENIDA DA SEDE,SN,SETOR NOVO PLANALTO,GOIANIA,74480355,GO,"-16,6222028","-49,3398795"
2007,RODOVIA JOSE REDIS SP,222,SENADOR PRADO,PARIQUERA ACU,11930000,SP,"-24,7074969","-47,8874707"
2009,AVENIDA EUROPA,348,JARDIM JACY,CAMPO GRANDE,79006260,MS,"-20,4850462","-54,635772"
2010,AVENIDA MANOEL BORBA,310,CENTRO,PETROLANDIA,56460000,PE,"-9,0699572","-38,2818165"
